Greek_Word	Ln_Decimal_Code	Total_Unique_References	Refs
Οὐ	69.3	3	LUK 19:14!13; LUK 5:31!8; LUK 6:43!1
Οὐαί	22.9	1	LUK 10:13!1
Οὐαὶ	22.9	1	LUK 6:26!1
Οὐδείς	92.23	1	LUK 1:61!6
Οὐδεὶς	92.23	4	LUK 11:33!1; LUK 5:36!8; LUK 8:16!1; LUK 9:62!5
Οὐδὲ	69.7	1	LUK 20:8!6
Οὐδὲ	69.8	2	LUK 23:40!8; LUK 6:3!8
Οὐδὲν	92.23	1	LUK 23:4!11
Οὐθενός	92.23	1	LUK 22:35!19
Οὐκ	69.3	7	LUK 13:25!27; LUK 13:27!5; LUK 17:20!16; LUK 22:57!5; LUK 4:12!9; LUK 4:4!9; LUK 9:13!12
Οὐχί	69.4	2	LUK 16:30!4; LUK 1:60!7
Οὐχὶ	69.12	3	LUK 23:39!9; LUK 24:32!5; LUK 4:22!20
Οὕτως	61.9	1	LUK 1:25!2
Οὗτοι	92.29	1	LUK 24:44!5
Οὗτος	92.29	3	LUK 14:30!3; LUK 15:2!11; LUK 7:39!12
Οὗτός	92.29	2	LUK 20:14!10; LUK 9:35!8
Πάντων	59.23	1	LUK 9:43!9
Πάντως	71.16	1	LUK 4:23!5
Πάντως	91.10	1	LUK 4:23!5
Πάσχα	51.6	1	LUK 22:1!9
Πάτερ	10.14	3	LUK 15:12!8; LUK 15:18!10; LUK 15:21!6
Πάτερ	10.20	1	LUK 16:24!5
Πάτερ	12.12	4	LUK 11:2!7; LUK 22:42!2; LUK 23:34!5; LUK 23:46!8
Πέσετε	15.118	1	LUK 23:30!6
Πέτρε	93.296	1	LUK 22:34!6
Πέτρον	93.296	4	LUK 22:8!3; LUK 6:14!5; LUK 8:51!14; LUK 9:28!12
Πέτρος	93.296	13	LUK 12:41!4; LUK 18:28!4; LUK 22:54!14; LUK 22:55!12; LUK 22:58!15; LUK 22:60!4; LUK 22:61!11; LUK 24:12!3; LUK 5:8!4; LUK 8:45!14; LUK 9:20!10; LUK 9:32!3; LUK 9:33!11
Πέτρῳ	93.296	1	LUK 22:61!7
Παραλαβὼν	15.180	1	LUK 18:31!1
Παρεγένετο	15.86	1	LUK 8:19!1
Παρὰ	89.111	1	LUK 19:7!7
Παρῆσαν	85.23	1	LUK 13:1!1
Πατέρα	10.20	1	LUK 3:8!13
Πιλάτου	93.297	1	LUK 3:1!11
Πιλάτῳ	93.297	2	LUK 23:11!19; LUK 23:52!4
Πιλᾶτον	93.297	1	LUK 23:1!11
Πιλᾶτος	93.297	8	LUK 13:1!16; LUK 23:12!9; LUK 23:13!1; LUK 23:20!4; LUK 23:24!2; LUK 23:3!3; LUK 23:4!3; LUK 23:6!1
Πνεῦμα	12.18	2	LUK 1:35!7; LUK 4:18!1
Ποίησον	42.7	1	LUK 7:8!28
Πολλὰ	59.1	1	LUK 3:18!1
Ποντίου	93.298	1	LUK 3:1!10
Πορευθέντες	15.34	4	LUK 13:32!4; LUK 17:14!5; LUK 22:8!7; LUK 7:22!5
Πορεύθητι	15.34	1	LUK 7:8!16
Πορεύου	15.34	1	LUK 10:37!15
Ποῖα	92.36	1	LUK 24:19!4
Ποῦ	83.6	4	LUK 17:37!5; LUK 22:11!11; LUK 22:9!5; LUK 8:25!4
Πραγματεύσασθε	57.197	1	LUK 19:13!14
Προσέφερον	15.172	1	LUK 18:15!1
Προσέχετε	27.59	3	LUK 12:1!18; LUK 20:46!1; LUK 21:34!1
Προσδοκῶντος	30.55	1	LUK 3:15!1
Προσελθόντες	15.77	1	LUK 20:27!1
Προσεύχεσθε	33.178	1	LUK 22:40!8
Προσηνέγκατέ	15.172	1	LUK 23:14!4
Προφήτευσον	33.459	1	LUK 22:64!6
Προφήτης	53.79	1	LUK 7:16!11
Πρόσθες	59.72	1	LUK 17:5!7
Πρὶν	67.17	1	LUK 22:61!20
Πρὸ	67.17	1	LUK 21:12!1
Πόσοι	59.5	1	LUK 15:17!6
Πόσον	59.17	1	LUK 16:5!13
Πᾶν	59.23	1	LUK 2:23!7
Πᾶς	59.23	1	LUK 16:18!1
Πᾶσα	59.23	1	LUK 11:17!9
Πῦρ	39.15	1	LUK 12:49!1
Πῶς	92.16	3	LUK 18:24!7; LUK 1:34!7; LUK 20:41!5
Σάρεπτα	93.574	1	LUK 4:26!10
Σήμερον	67.205	2	LUK 19:9!8; LUK 4:21!7
Σίμων	93.341a	4	LUK 22:31!1; LUK 22:31!2; LUK 5:5!3; LUK 5:8!3
Σίμων	93.341i	2	LUK 7:40!8; LUK 7:43!2
Σίμωνά	93.341d	1	LUK 23:26!6
Σίμωνα	93.341a	3	LUK 5:10!18; LUK 5:4!8; LUK 6:14!1
Σίμωνα	93.341b	1	LUK 6:15!9
Σίμωνι	93.341a	2	LUK 24:34!9; LUK 5:10!13
Σίμωνι	93.341i	1	LUK 7:44!7
Σίμωνος	93.341a	3	LUK 4:38!10; LUK 4:38!14; LUK 5:3!9
Σαδδουκαίων	11.48	1	LUK 20:27!5
Σαλαθιὴλ	93.320	1	LUK 3:27!8
Σαλὰ	93.319a	1	LUK 3:32!8
Σαλὰ	93.319b	1	LUK 3:35!10
Σαμαρίτης	93.569	2	LUK 10:33!1; LUK 17:16!14
Σαμαρείας	93.568a	1	LUK 17:11!13
Σαμαριτῶν	93.569	1	LUK 9:52!12
Σατανᾶν	12.34	1	LUK 10:18!6
Σατανᾶν	93.330	1	LUK 10:18!6
Σατανᾶς	12.34	4	LUK 11:18!5; LUK 13:16!9; LUK 22:3!3; LUK 22:31!5
Σατανᾶς	93.330	4	LUK 11:18!5; LUK 13:16!9; LUK 22:3!3; LUK 22:31!5
Σεμεῒν	93.334	1	LUK 3:26!6
Σεροὺχ	93.336	1	LUK 3:35!2
Σιδωνίας	93.578	1	LUK 4:26!12
Σιδῶνι	93.577	2	LUK 10:13!12; LUK 10:14!4
Σιδῶνος	93.577	1	LUK 6:17!30
Σιλωὰμ	93.580	1	LUK 13:4!12
Σοδόμοις	93.585	1	LUK 10:12!4
Σοδόμων	93.585	1	LUK 17:29!7
Σολομὼν	93.344	1	LUK 12:27!14
Σολομῶνος	93.344	2	LUK 11:31!26; LUK 11:31!30
Σουσάννα	93.345	1	LUK 8:3!8
Σοὶ	92.6	2	LUK 4:6!6; LUK 5:24!19
Σταύρου	20.76	1	LUK 23:21!5
Συγκαλεσάμενος	33.309	1	LUK 9:1!1
Συγχάρητέ	25.126	2	LUK 15:6!14; LUK 15:9!9
Συκῆν	3.5	1	LUK 13:6!6
Συλλαβόντες	37.109	1	LUK 22:54!1
Συμεών	93.349c	1	LUK 2:25!9
Συμεὼν	93.349c	1	LUK 2:34!4
Συμεὼν	93.349e	1	LUK 3:30!2
Συνεπορεύοντο	15.148	1	LUK 14:25!1
Συνιόντος	15.123	1	LUK 8:4!1
Συρίας	93.589	1	LUK 2:2!7
Σύρος	93.590	1	LUK 4:27!20
Σὴθ	93.337	1	LUK 3:38!4
Σὴμ	93.338	1	LUK 3:36!6
Σὺ	92.6	9	LUK 16:7!4; LUK 22:70!4; LUK 23:3!18; LUK 23:3!7; LUK 24:18!9; LUK 3:22!18; LUK 4:41!11; LUK 7:19!6; LUK 7:20!16
Τέθνηκεν	23.99	1	LUK 8:49!11
Τέκνον	10.28	1	LUK 16:25!4
Τέκνον	10.36	2	LUK 15:31!5; LUK 2:48!12
Τί	92.14	12	LUK 12:17!6; LUK 16:2!6; LUK 16:3!7; LUK 18:41!1; LUK 1:66!11; LUK 20:13!7; LUK 20:17!6; LUK 22:71!4; LUK 3:10!7; LUK 3:14!7; LUK 7:24!13; LUK 8:30!6
Τί	92.15	11	LUK 12:57!1; LUK 18:19!6; LUK 19:33!12; LUK 22:46!4; LUK 23:22!7; LUK 24:38!4; LUK 24:5!15; LUK 2:49!5; LUK 5:22!12; LUK 6:2!6; LUK 6:46!1
Τίμα	87.8	1	LUK 18:20!12
Τίνα	92.14	1	LUK 9:18!18
Τίνες	92.14	1	LUK 24:17!5
Τίνι	92.14	3	LUK 13:18!3; LUK 13:20!4; LUK 7:31!1
Τίνος	92.14	1	LUK 14:5!5
Τίς	92.14	9	LUK 11:5!5; LUK 12:42!5; LUK 15:4!1; LUK 17:7!1; LUK 4:36!11; LUK 5:21!10; LUK 7:49!8; LUK 8:25!14; LUK 8:45!5
Ταχὺ	67.110	1	LUK 15:22!9
Ταῦτα	92.29	3	LUK 18:21!4; LUK 21:6!1; LUK 24:36!1
Τιβερίου	93.359	1	LUK 3:1!7
Τοίνυν	89.51	1	LUK 20:25!6
Τοῖς	92.24	1	LUK 4:10!4
Τοῦτο	92.29	3	LUK 12:18!3; LUK 12:39!1; LUK 22:20!9
Τοῦτον	92.29	1	LUK 23:2!6
Τοῦτό	92.29	1	LUK 22:19!10
Τραχωνίτιδος	93.598	1	LUK 3:1!28
Τύρου	93.602	1	LUK 6:17!28
Τύρῳ	93.602	2	LUK 10:13!10; LUK 10:14!2
Τὰ	92.24	2	LUK 18:27!4; LUK 24:19!9
Τὸ	92.24	3	LUK 1:80!1; LUK 20:4!1; LUK 2:40!1
Τὸν	92.24	1	LUK 9:20!14
Τῇ	92.24	1	LUK 1:57!1
Τῶν	92.24	1	LUK 11:29!1
Υἱὲ	10.30	1	LUK 18:39!13
Φάλεκ	93.371	1	LUK 3:35!6
Φίλε	34.11	2	LUK 11:5!18; LUK 14:10!18
Φίλιππον	93.379a	1	LUK 6:14!16
Φανουήλ	93.372	1	LUK 2:36!6
Φαρισαίοις	11.49	2	LUK 11:42!5; LUK 11:43!4
Φαρισαίου	11.49	2	LUK 7:36!17; LUK 7:37!18
Φαρισαίους	11.49	1	LUK 14:3!10
Φαρισαίων	11.49	7	LUK 12:1!27; LUK 14:1!13; LUK 17:20!5; LUK 19:39!4; LUK 5:33!18; LUK 6:2!4; LUK 7:36!6
Φαρισαῖοι	11.49	10	LUK 11:39!10; LUK 11:53!9; LUK 13:31!7; LUK 15:2!5; LUK 16:14!6; LUK 5:17!14; LUK 5:21!8; LUK 5:30!4; LUK 6:7!7; LUK 7:30!3
Φαρισαῖος	11.49	5	LUK 11:37!7; LUK 11:38!3; LUK 18:10!10; LUK 18:11!2; LUK 7:39!4
Φαρὲς	93.374	1	LUK 3:33!10
Φιλίππου	93.379b	1	LUK 3:1!19
Φιμώθητι	33.123	1	LUK 4:35!7
Φωνὴ	33.103	1	LUK 3:4!9
Χαῖρε	33.22	1	LUK 1:28!6
Χοραζίν	93.615	1	LUK 10:13!3
Χουζᾶ	93.386	1	LUK 8:3!4
Χρονίζει	67.82	1	LUK 12:45!11
Ψυχή	26.4	1	LUK 12:19!6
αἰνεῖν	33.354	1	LUK 19:37!19
αἰνούντων	33.354	1	LUK 2:13!10
αἰνοῦντες	33.354	1	LUK 2:20!7
αἰσχύνης	25.189	1	LUK 14:9!17
αἰσχύνομαι	25.190	1	LUK 16:3!22
αἰτήσας	33.163	1	LUK 1:63!2
αἰτήσει	33.163	2	LUK 11:11!7; LUK 11:12!3
αἰτήσουσιν	33.163	1	LUK 12:48!25
αἰτίαν	89.15	1	LUK 8:47!15
αἰτεῖτε	33.163	1	LUK 11:9!4
αἰτούμενοι	33.163	1	LUK 23:23!6
αἰτοῦντί	33.163	1	LUK 6:30!2
αἰτοῦσιν	33.163	1	LUK 11:13!24
αἰτῶν	33.163	1	LUK 11:10!4
αἰφνίδιος	67.113	1	LUK 21:34!20
αἰχμαλωτισθήσονται	55.24	1	LUK 21:24!6
αἰχμαλώτοις	55.25	1	LUK 4:18!14
αἰωνίους	67.96	1	LUK 16:9!20
αἰώνιον	67.96	3	LUK 10:25!13; LUK 18:18!12; LUK 18:30!17
αἰῶνα	67.95	1	LUK 1:55!15
αἰῶνας	67.95	1	LUK 1:33!9
αἰῶνι	67.143	1	LUK 18:30!13
αἰῶνος	11.16	2	LUK 16:8!16; LUK 20:34!9
αἰῶνος	67.143	1	LUK 20:35!5
αἰῶνος	67.25	1	LUK 1:70!8
αἱ	92.24	24	LUK 10:13!14; LUK 10:13!16; LUK 12:35!3; LUK 12:7!3; LUK 1:23!5; LUK 1:48!17; LUK 21:26!11; LUK 21:34!7; LUK 23:23!11; LUK 23:29!12; LUK 23:29!9; LUK 23:49!10; LUK 23:55!3; LUK 24:10!13; LUK 24:24!15; LUK 2:22!4; LUK 2:6!9; LUK 3:5!17; LUK 5:20!10; LUK 5:23!7; LUK 7:47!6; LUK 7:47!9; LUK 7:48!6; LUK 8:7!10
αἳ	92.27	3	LUK 23:27!10; LUK 23:29!14; LUK 8:2!4
αἴρει	15.203	2	LUK 11:22!11; LUK 8:12!14
αἴρεις	57.218	1	LUK 19:21!8
αἴρετε	15.203	1	LUK 9:3!6
αἴροντος	15.203	1	LUK 6:30!8
αἴροντός	15.203	1	LUK 6:29!14
αἴρων	57.218	1	LUK 19:22!17
αἴσθωνται	32.28	1	LUK 9:45!14
αἴτημα	33.164	1	LUK 23:24!6
αἴτιον	88.315	1	LUK 23:4!13
αἴτιον	89.15	2	LUK 23:14!25; LUK 23:22!13
αἵματί	23.112	1	LUK 22:20!17
αἵματος	23.182	2	LUK 8:43!6; LUK 8:44!15
αἵματος	8.64	3	LUK 11:51!2; LUK 11:51!5; LUK 22:44!14
αἵτινες	92.18	2	LUK 23:55!5; LUK 8:3!12
αἶνον	33.354	1	LUK 18:43!16
αἷμα	23.112	1	LUK 11:50!4
αἷμα	8.64	1	LUK 13:1!15
