Term_Id	Term	Gloss	Domain	Refs
συναγωγή	συναγωγή	synagogue or Christian assembly place	constructions; buildings; religious activities	LUK 4:15!12; LUK 4:16!42; LUK 4:20!30; LUK 4:28!14; LUK 4:33!8; LUK 4:38!10; LUK 4:44!12; LUK 6:6!20; LUK 7:5!16; LUK 8:41!24; LUK 11:43!22; LUK 12:11!14; LUK 13:10!14; LUK 20:46!40; LUK 21:12!32
Συρία	Συρία	Syria	area	LUK 2:2!14
Σύρος	Σύρος	Syrian	group	LUK 4:27!40
σῦκον	σῦκον	fig	fruits	LUK 6:44!28
σωματικός	σωματικός	in body; bodily	body	LUK 3:22!14
σωτηρία	σωτηρία	salvation	help, protect, save; well-being; security	LUK 1:69!8; LUK 1:71!2; LUK 1:77!8; LUK 19:9!18
σωτήρ	σωτήρ	savior	people; help, protect, save; well-being; security	LUK 1:47!20; LUK 2:11!10
σωτήριον	σωτήριον	salvation	help, protect, save; well-being	LUK 2:30!14; LUK 3:6!12
σῶμα	σῶμα	body	body	LUK 11:34!8; LUK 11:34!36; LUK 11:34!56; LUK 11:36!8; LUK 12:4!26; LUK 12:22!38; LUK 12:23!20; LUK 17:37!26; LUK 22:19!26; LUK 23:52!14; LUK 23:55!38; LUK 24:3!12; LUK 24:23!10
σῴζω	σῴζω	save; heal	help, protect, save; well-being; security	LUK 6:9!34; LUK 7:50!18; LUK 8:12!48; LUK 8:36!14; LUK 8:48!18; LUK 8:50!24; LUK 9:24!16; LUK 9:24!42; LUK 13:23!18; LUK 17:19!18; LUK 18:26!16; LUK 18:42!20; LUK 19:10!18; LUK 23:35!26; LUK 23:35!28; LUK 23:37!20; LUK 23:39!28
ταμεῖον-1	ταμεῖον	inner room	constructions	LUK 12:3!40
ταμεῖον-2	ταμεῖον	storeroom; treasure room	constructions	LUK 12:24!24
τελώνης	τελώνης	tax-collector	tax; people	LUK 3:12!8; LUK 5:27!14; LUK 5:29!30; LUK 5:30!36; LUK 7:29!16; LUK 7:34!34; LUK 15:1!14; LUK 18:10!28; LUK 18:11!56; LUK 18:13!6
τελώνιον	τελώνιον	tax office	tax	LUK 5:27!26
Τιβέριος	Τιβέριος	Tiberius	person	LUK 3:1!14
Τραχωνῖτις	Τραχωνῖτις	Trachonitis	area	LUK 3:1!56
τρῆμα	τρῆμα	hole	artifacts	LUK 18:25!12
τρυγών	τρυγών	turtle dove	birds	LUK 2:24!26
Τύρος	Τύρος	Tyre	settlement	LUK 6:17!56; LUK 10:13!20; LUK 10:14!4
υἱὸς τοῦ ἀνθρώπου	υἱὸς τοῦ ἀνθρώπου	Son of Man	supernatural beings and powers; titles	LUK 5:24!12; LUK 6:5!18; LUK 6:22!46; LUK 7:34!6; LUK 9:22!10; LUK 9:26!24; LUK 9:44!24; LUK 9:58!36; LUK 11:30!24; LUK 12:8!30; LUK 12:10!16; LUK 12:40!22; LUK 17:22!28; LUK 17:24!38; LUK 17:26!30; LUK 17:30!16; LUK 18:8!24; LUK 18:31!42; LUK 19:10!8; LUK 21:27!10; LUK 21:36!38; LUK 22:22!6; LUK 22:48!16; LUK 22:69!14; LUK 24:7!6
υἱὸς τοῦ θεοῦ	υἱὸς τοῦ θεοῦ	Son of God	supernatural beings and powers; titles	LUK 1:32!10; LUK 1:35!46; LUK 3:22!42; LUK 4:3!14; LUK 4:9!34; LUK 4:41!28; LUK 8:28!34; LUK 9:35!22; LUK 10:22!28; LUK 10:22!54; LUK 10:22!66; LUK 22:70!16
ὑπηρέτης	ὑπηρέτης	official; servant; attendant	people; serve; authority	LUK 1:2!18; LUK 4:20!14
ὑποκριτής	ὑποκριτής	hypocrite	people; behavior; truth	LUK 6:42!52; LUK 12:56!2; LUK 13:15!16
ὑποκρίνομαι	ὑποκρίνομαι	pretend	truth	LUK 20:20!10
ὑποπόδιον	ὑποπόδιον	footstool	artifacts; furnishings	LUK 20:43!14
ὑπόδημα	ὑπόδημα	sandal; shoe	artifacts; clothing	LUK 3:16!48; LUK 10:4!14; LUK 15:22!50; LUK 22:35!24
ὑπόκρισις	ὑπόκρισις	hypocrisy	truth	LUK 12:1!50
ὕψιστος-1	ὕψιστος	highest	size	LUK 2:14!6; LUK 19:38!32
ὕψιστος-2	ὕψιστος	Most High	supernatural beings and powers; titles	LUK 1:32!12; LUK 1:35!28; LUK 1:76!12; LUK 6:35!42; LUK 8:28!42
ὕψος	ὕψος	height	size	LUK 1:78!24; LUK 24:49!44
Φανουήλ	Φανουήλ	Phanuel	person	LUK 2:36!12
Φαρισαῖος	Φαρισαῖος	Pharisee	group	LUK 5:17!28; LUK 5:21!16; LUK 5:30!8; LUK 5:33!36; LUK 6:2!8; LUK 6:7!16; LUK 7:30!6; LUK 7:36!12; LUK 7:36!34; LUK 7:37!36; LUK 7:39!8; LUK 11:37!14; LUK 11:38!6; LUK 11:39!20; LUK 11:42!10; LUK 11:43!8; LUK 11:53!18; LUK 12:1!54; LUK 13:31!14; LUK 14:1!26; LUK 14:3!20; LUK 15:2!10; LUK 16:14!12; LUK 17:20!10; LUK 18:10!20; LUK 18:11!4; LUK 19:39!8
Φάλεκ	Φάλεκ	Peleg	person	LUK 3:35!12
Φάρες	Φάρες	Perez	person	LUK 3:33!20
φάτνη-1	φάτνη	feed box; manger; crib	constructions; animal husbandry	LUK 2:7!30; LUK 2:12!24; LUK 2:16!36
φάτνη-2	φάτνη	stall	constructions; animal husbandry	LUK 13:15!46
φιλάργυρος	φιλάργυρος	loving wealth; lover of money	affection; money; wealth; people; morals and ethics	LUK 16:14!14
φιλέω	φιλέω	love; be fond of	affection	LUK 20:46!22
Φίλιππος-1	Φίλιππος	Philip	person	LUK 6:14!32
Φίλιππος-2	Φίλιππος	Philip	person	LUK 3:1!38
φίλος	φίλος	friend	people; affection	LUK 7:6!34; LUK 7:34!32; LUK 11:5!18; LUK 11:5!36; LUK 11:6!4; LUK 11:8!24; LUK 12:4!10; LUK 14:10!36; LUK 14:12!30; LUK 15:6!16; LUK 15:9!10; LUK 15:29!52; LUK 16:9!14; LUK 21:16!22; LUK 23:12!6
φοβέω-1	φοβέω	fear; be afraid	confidence	LUK 1:13!16; LUK 1:30!14; LUK 2:9!24; LUK 2:10!14; LUK 5:10!44; LUK 8:25!16; LUK 8:35!60; LUK 8:50!16; LUK 9:34!20; LUK 9:45!34; LUK 12:4!16; LUK 12:5!10; LUK 12:5!12; LUK 12:5!42; LUK 12:7!22; LUK 12:32!4; LUK 19:21!2; LUK 20:19!36; LUK 22:2!24; LUK 23:40!18
φοβέω-2	φοβέω	fear; worship; reverence (God)	confidence; worship; honor, respect, status	LUK 1:50!20; LUK 18:2!22; LUK 18:4!34
φόβητρον	φόβητρον	dreadful event or sight	confidence	LUK 21:11!22
φόβος-1	φόβος	fear; terror	confidence	LUK 1:12!12; LUK 1:65!10; LUK 2:9!26; LUK 5:26!22; LUK 7:16!6; LUK 8:37!30; LUK 21:26!8
φόρος	φόρος	tribute tax	tax; authority	LUK 20:22!8; LUK 23:2!28
φραγμός	φραγμός	fence; wall	constructions	LUK 14:23!26
φυλακή-1	φυλακή	jail; prison	constructions	LUK 3:20!22; LUK 12:58!74; LUK 21:12!36; LUK 22:33!24; LUK 23:19!30; LUK 23:25!20
φυλακή-3	φυλακή	watch; a fourth of the night		LUK 2:8!24; LUK 12:38!18
φυλάσσω φυλακάς	φυλάσσω φυλακάς	to guard against; to keep under watch; to watch over	help, protect, save	LUK 2:8!24
χαρά-1	χαρά	joy; gladness; great happiness	grace	LUK 1:14!6; LUK 8:13!20; LUK 10:17!14; LUK 15:7!10; LUK 15:10!10; LUK 24:41!14; LUK 24:52!18
χαρά-2	χαρά	cause of joy; reason for gladness	grace	LUK 2:10!24
χαριτόω	χαριτόω	show kindness towards	grace	LUK 1:28!14
χαρίζομαι	χαρίζομαι	grant; forgive; hand over; give freely; be restored	possession; grace; atone, forgive	LUK 7:21!34; LUK 7:42!12; LUK 7:43!18
χάραξ	χάραξ	palisade; barricade	constructions	LUK 19:43!22
χάρις-1	χάρις	favor, grace, kindness; gracious	grace	LUK 1:30!22; LUK 2:40!20; LUK 2:52!20; LUK 4:22!22
χάρις-3	χάρις	thanks, thanksgiving, gratitude, credit	communication	LUK 6:32!18; LUK 6:33!20; LUK 6:34!20; LUK 17:9!6
χιτών-1	χιτών	tunic; shirt	artifacts; clothing	LUK 3:11!16; LUK 6:29!40; LUK 9:3!42
χοῖρος	χοῖρος	pig	mammals; domestic animals	LUK 8:32!10; LUK 8:33!22; LUK 15:15!36; LUK 15:16!20
Χοραζίν	Χοραζίν	Chorazin	settlement	LUK 10:13!6
Χουζᾶς	Χουζᾶς	Chuza	person	LUK 8:3!8
χόρτος-1	χόρτος	small plants; grass	grasses	LUK 12:28!12
χρηστός	χρηστός	good; kind; easy	morals and ethics	LUK 5:39!22; LUK 6:35!48
χρῆμα	χρῆμα	money (normally a reference to actual coins)	artifacts; money	LUK 18:24!26
Χριστός-2	Χριστός	Christ	titles; person	LUK 2:11!16; LUK 2:26!36; LUK 3:15!38; LUK 4:41!52; LUK 9:20!30; LUK 20:41!16; LUK 22:67!12; LUK 23:2!40; LUK 23:35!40; LUK 23:39!26; LUK 24:26!12; LUK 24:46!18
χρίω	χρίω	anoint, assign, appoint	anoint	LUK 4:18!14
ψευδοπροφήτης	ψευδοπροφήτης	false prophet	people; communication; prophecy, vision; truth	LUK 6:26!30
ψυχή-1	ψυχή	life	life and death	LUK 6:9!32; LUK 9:24!12; LUK 9:24!32; LUK 12:22!28; LUK 12:23!6; LUK 14:26!62; LUK 17:33!10
ψυχή-2	ψυχή	inner self, mind, thoughts, feelings, heart, being, soul	psychological faculties	LUK 1:46!12; LUK 2:35!12; LUK 10:27!38; LUK 12:19!8; LUK 12:19!12; LUK 12:20!22; LUK 21:19!14
