Term_Id	Term	Gloss	Domain	Refs
βίος-2	βίος	daily life	behavior	LUK 8:14!38
βίος-3	βίος	life, existence	life and death	LUK 8:43!30
βλασφημέω	βλασφημέω	blaspheme; revile; defame	blessing and curse; communication	LUK 12:10!38; LUK 22:65!8; LUK 23:39!12
βλασφημία	βλασφημία	slander; blasphemy	blessing and curse; communication	LUK 5:21!30
βοῦς	βοῦς	bull; ox; cow; cattle	mammals	LUK 13:15!32; LUK 14:5!18; LUK 14:19!10
Βόες	Βόες	Boaz	person	LUK 3:32!12
βύσσος	βύσσος	fine linen	artifacts; cloth	LUK 16:19!20
Γαβριήλ	Γαβριήλ	Gabriel	supernatural beings and powers	LUK 1:19!18; LUK 1:26!20
γαζοφυλάκιον-1	γαζοφυλάκιον	offering box	artifacts	LUK 21:1!16
Γαλιλαία-1	Γαλιλαία	Galilee	area	LUK 1:26!34; LUK 2:4!14; LUK 2:39!26; LUK 3:1!34; LUK 4:14!24; LUK 4:31!14; LUK 5:17!48; LUK 8:26!24; LUK 17:11!30; LUK 23:5!36; LUK 23:49!32; LUK 23:55!20; LUK 24:6!28
Γαλιλαῖος	Γαλιλαῖος	Galilean	group	LUK 13:1!24; LUK 13:2!16; LUK 13:2!28; LUK 22:59!38; LUK 23:6!16
Γεννησαρέτ-2	Γεννησαρέτ	Gennesaret	nature	LUK 5:1!44
Γερασηνός	Γερασηνός	Gerasene	group	LUK 8:26!14; LUK 8:37!20
γέεννα	γέεννα	Gehenna, hell	universe	LUK 12:5!32
γῆ-1	γῆ	land; soil; ground; earth	universe; nature	LUK 2:14!14; LUK 5:24!26; LUK 10:21!42; LUK 11:31!44; LUK 12:49!12; LUK 12:51!16; LUK 12:56!10; LUK 16:17!16; LUK 18:8!44; LUK 21:23!38; LUK 21:25!26; LUK 21:33!10; LUK 21:35!26
γῆ-2	γῆ	land	nature	LUK 5:3!28; LUK 5:11!14; LUK 8:27!12
γῆ-3	γῆ	soil, ground	nature	LUK 6:49!28; LUK 8:8!12; LUK 8:15!12; LUK 13:7!54; LUK 14:35!6; LUK 22:44!36; LUK 24:5!22
γῆ-4	γῆ	region, territory, land	area	LUK 4:25!66; LUK 23:44!26
γραμματεύς-1	γραμματεύς	scholar, teacher; expert in the Law (traditionally: scribe)	people; communication; teaching; writing; religious activities	LUK 5:21!10; LUK 5:30!14; LUK 6:7!10; LUK 9:22!36; LUK 11:53!12; LUK 15:2!16; LUK 19:47!30; LUK 20:1!42; LUK 20:19!8; LUK 20:39!10; LUK 20:46!8; LUK 22:2!14; LUK 22:66!26; LUK 23:10!14
γραφή	γραφή	Scripture, Scripture passage	communication; writing	LUK 4:21!20; LUK 24:27!30; LUK 24:32!46; LUK 24:45!18
γράφω	γράφω	write	communication; writing	LUK 22:37!14
δαιμονίζομαι	δαιμονίζομαι	be demon possessed	supernatural beings and powers	LUK 8:36!18
δαιμόνιον	δαιμόνιον	demon, evil spirit	supernatural beings and powers	LUK 4:33!18; LUK 4:35!32; LUK 4:41!8; LUK 7:33!28; LUK 8:2!36; LUK 8:27!28; LUK 8:29!58; LUK 8:30!32; LUK 8:33!8; LUK 8:35!38; LUK 8:38!20; LUK 9:1!26; LUK 9:42!16; LUK 9:49!26; LUK 10:17!24; LUK 11:14!8; LUK 11:14!24; LUK 11:15!22; LUK 11:15!28; LUK 11:18!42; LUK 11:19!16; LUK 11:20!18; LUK 13:32!22
δακτύλιος	δακτύλιος	ring	artifacts	LUK 15:22!38
Δαυίδ	Δαυίδ	David	person	LUK 1:27!20; LUK 1:32!32; LUK 1:69!16; LUK 2:4!32; LUK 2:4!56; LUK 2:11!24; LUK 3:31!20; LUK 6:3!26; LUK 18:38!12; LUK 18:39!28; LUK 20:41!20; LUK 20:42!6; LUK 20:44!2
δεσμός	δεσμός	bonds; chains; fetters	artifacts	LUK 8:29!50; LUK 13:16!40
δέησις	δέησις	prayer; supplication; petition	communication	LUK 1:13!26; LUK 2:37!30; LUK 5:33!24
δένδρον	δένδρον	tree; bush	plants	LUK 3:9!20; LUK 3:9!28; LUK 6:43!8; LUK 6:43!22; LUK 6:44!6; LUK 13:19!34; LUK 21:29!22
δέομαι	δέομαι	ask, beg; pray	communication	LUK 10:2!26; LUK 21:36!12; LUK 22:32!6
δηνάριον	δηνάριον	denarius	money	LUK 7:41!18; LUK 10:35!16; LUK 20:24!6
διαθήκη	διαθήκη	covenant	covenant	LUK 1:72!18; LUK 22:20!28
διακαθαίρω	διακαθαίρω	clean out	clean, pure, holy	LUK 3:17!16
διακονέω	διακονέω	serve, care for, administer; one who serves, minister	authority	LUK 4:39!28; LUK 8:3!26; LUK 10:40!44; LUK 12:37!42; LUK 17:8!20; LUK 22:26!38; LUK 22:27!16; LUK 22:27!40
διακονία	διακονία	service; ministry; support	authority	LUK 10:40!14
διαμαρτύρομαι	διαμαρτύρομαι	declare, assert, charge under solemn oath; warn; insist	communication; truth	LUK 16:28!12
διασῳζω	διασῳζω	save; cure	help, protect, save; well-being; health	LUK 7:3!32
διαφυλάσσω	διαφυλάσσω	protect, keep safe	help, protect, save	LUK 4:10!22
διάβολος-1	διάβολος	devil	supernatural beings and powers	LUK 4:2!12; LUK 4:3!10; LUK 4:6!10; LUK 4:13!12; LUK 8:12!24
διάνοια	διάνοια	mind; understanding; thoughts	intellect; psychological faculties	LUK 1:51!16; LUK 10:27!62
δικαιοσύνη	δικαιοσύνη	doing what God requires, doing what is right; righteousness, justice; being put right with God	morals and ethics	LUK 1:75!8
δικαιόω-1	δικαιόω	put right with	morals and ethics	LUK 18:14!10
δικαιόω-2	δικαιόω	show to be right, prove to be right	morals and ethics	LUK 7:35!4; LUK 10:29!8; LUK 16:15!14
δικαιόω-4	δικαιόω	obey righteous commands	morals and ethics	LUK 7:29!18
δικαίωμα	δικαίωμα	regulations, just requirements, justification; righteous act	morals and ethics; law	LUK 1:6!28
δικαίως	δικαίως	justly; righteously	morals and ethics	LUK 23:41!8
δίκαιος	δίκαιος	just, righteous; being right with	morals and ethics	LUK 1:6!6; LUK 1:17!40; LUK 2:25!28; LUK 5:32!8; LUK 12:57!18; LUK 14:14!32; LUK 15:7!36; LUK 18:9!24; LUK 20:20!14; LUK 23:47!30; LUK 23:50!24
δίκτυον	δίκτυον	net; fishnet	tools; hunting and fishing	LUK 5:2!34; LUK 5:4!32; LUK 5:5!38; LUK 5:6!22
δοκιμάζω	δοκιμάζω	interpret, examine, test; judge to be genuine, approve	truth	LUK 12:56!20; LUK 14:19!20
δοκός	δοκός	beam	constructions	LUK 6:41!30; LUK 6:42!46; LUK 6:42!60
δοξάζω	δοξάζω	praise; glorify; honor	glory	LUK 2:20!10; LUK 4:15!16; LUK 5:25!30; LUK 5:26!12; LUK 7:16!12; LUK 13:13!20; LUK 17:15!24; LUK 18:43!14; LUK 23:47!14
δουλεύω	δουλεύω	serve; be enslaved	authority; control; serve	LUK 15:29!22; LUK 16:13!12; LUK 16:13!52
δούλη	δούλη	bondmaid; female slave	people; authority; control; serve	LUK 1:38!12; LUK 1:48!14
δοῦλος-1	δοῦλος	slave; servant	people; authority; control; serve	LUK 2:29!8; LUK 7:2!8; LUK 7:3!36; LUK 7:8!52; LUK 7:10!20; LUK 12:37!6; LUK 12:43!6; LUK 12:45!10; LUK 12:46!10; LUK 12:47!8; LUK 14:17!8; LUK 14:21!8; LUK 14:21!32; LUK 14:22!8; LUK 14:23!14; LUK 15:22!14; LUK 17:7!10; LUK 17:9!10; LUK 17:10!24; LUK 19:13!8; LUK 19:15!30; LUK 19:17!12; LUK 19:22!20; LUK 20:10!14; LUK 20:11!10; LUK 22:50!20
δόξα-1	δόξα	glory, splendor; brightness, radiance; greatness	glory	LUK 2:9!14; LUK 4:6!28; LUK 9:26!40; LUK 9:31!8; LUK 9:32!30; LUK 12:27!36; LUK 21:27!28; LUK 24:26!22
