Greek_Word	Ln_Domain	SemDom	SemDom_Name	Total_Unique_References	Refs
Πέτρον	93A	9.7.1	Name of a person	4	LUK 22:8!3; LUK 6:14!5; LUK 8:51!14; LUK 9:28!12
Πέτρος	93A	9.7.1	Name of a person	13	LUK 12:41!4; LUK 18:28!4; LUK 22:54!14; LUK 22:55!12; LUK 22:58!15; LUK 22:60!4; LUK 22:61!11; LUK 24:12!3; LUK 5:8!4; LUK 8:45!14; LUK 9:20!10; LUK 9:32!3; LUK 9:33!11
Πέτρῳ	93A	9.7.1	Name of a person	1	LUK 22:61!7
Παραλαβὼν	15W	7.3.3	Take somewhere	1	LUK 18:31!1
Παρεγένετο	15F	7.2.3.3.1	Arrive	1	LUK 8:19!1
Παρὰ	89T	4;4.1	Relationships;Social behavior	1	LUK 19:7!7
Παρῆσαν	85A	8.5.3	Be at a place	1	LUK 13:1!1
Πατέρα	10B	4.1.9.1	Related by birth	1	LUK 3:8!13
Πιλάτου	93A	9.7.1	Name of a person	1	LUK 3:1!11
Πιλάτῳ	93A	9.7.1	Name of a person	2	LUK 23:11!19; LUK 23:52!4
Πιλᾶτον	93A	9.7.1	Name of a person	1	LUK 23:1!11
Πιλᾶτος	93A	9.7.1	Name of a person	8	LUK 13:1!16; LUK 23:12!9; LUK 23:13!1; LUK 23:20!4; LUK 23:24!2; LUK 23:3!3; LUK 23:4!3; LUK 23:6!1
Πνεῦμα	12A	4.9.2	Supernatural being	2	LUK 1:35!7; LUK 4:18!1
Ποίησον	42B	9.1.2	Do	1	LUK 7:8!28
Πολλὰ	59A	8.1.3;8.1.3.1	Many, much;Plural	1	LUK 3:18!1
Ποντίου	93A	9.7.1	Name of a person	1	LUK 3:1!10
Πορευθέντες	15D	7.2.3.3;7.3.3.3	Leave;Send	4	LUK 13:32!4; LUK 17:14!5; LUK 22:8!7; LUK 7:22!5
Πορεύθητι	15D	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 7:8!16
Πορεύου	15D	7.2.3.3;7.3.3.3	Leave;Send	1	LUK 10:37!15
Ποῖα	92G	9.2.3.5	Demonstrative pronouns	1	LUK 24:19!4
Ποῦ	83B	8.5	Location	4	LUK 17:37!5; LUK 22:11!11; LUK 22:9!5; LUK 8:25!4
Πραγματεύσασθε	57P	6.8.2.7	Earn	1	LUK 19:13!14
